Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,70CM CA,446.000000,,0.000000,Tone,100.0,88.5,023,NN,FM,5.00,S,Simplex,,,,
1,446.015,446.015000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,S,Simplex,,,,
2,446.1,446.100000,-,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,S,Simplex,,,,
3,2m Call,146.520000,,0.000000,Tone,100.0,88.5,023,NN,FM,5.00,,Simplex,,,,
4,146.535,146.535000,,0.000000,Tone,100.0,88.5,023,NN,FM,5.00,S,Simplex,,,,
5,146.43,146.430000,,0.000000,Tone,100.0,88.5,023,NN,FM,5.00,S,Simplex,,,,
6,146.46,146.460000,,0.000000,Tone,100.0,88.5,023,NN,FM,5.00,S,Simplex,,,,
7,147.42,147.420000,,0.000000,Tone,100.0,88.5,023,NN,FM,5.00,S,Simplex,,,,
8,147.45,147.450000,,0.000000,Tone,100.0,88.5,023,NN,FM,5.00,S,Simplex,,,,
9,147.48,147.480000,,0.000000,Tone,100.0,88.5,023,NN,FM,5.00,S,Simplex,,,,
10,147.54,147.540000,,0.000000,Tone,100.0,88.5,023,NN,FM,5.00,S,Simplex,,,,
11,VA3AQ,442.675000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,Kitchener Area,,,,
12,VA3BNI,444.275000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,S,Midland Collingwood area,,,,
13,VA3GTU,145.130000,-,0.600000,Tone,103.5,103.5,023,NN,FM,5.00,S,"Toronto area, 2m",,,,
14,VA3NMK,444.200000,+,5.000000,Tone,103.5,103.5,023,NN,FM,5.00,S,Midland Collingwood area,,,,
15,VA3OPS,146.655000,-,0.600000,Tone,156.7,156.7,023,NN,FM,5.00,S,Midland Collingwood area,,,,
16,VA3PTX,147.285000,+,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,S,Midland Collingwood area,,,,
17,VA3ROG,145.370000,-,0.600000,Tone,156.7,156.7,023,NN,FM,5.00,S,Midland Collingwood area,,,,
